trecho,ocorrencias
ALEIDE,1676
ALEILSON,1081
ALEIR,1272
ALEIXO,63942
ALEJANDRA,8002
ALEJANDRO,18738
ALEKSANDER,2080
ALEKSANDRA,2336
ALEKSANDRO,3217
ALELUIA,10311
ALEM,3355
ALEMAO,1288
ALEMAR,1066
ALEN,1196
ALENCAR,269660
ALENCASTRO,5028
ALENE,1316
ALENI,1037
ALENICE,1731
ALENILSON,1289
ALENIR,2028
ALERRANDRO,1694
ALES,1132
ALESANDRA,6327
ALESANDRO,5099
ALESON,2113
ALESSA,1865
ALESSANDER,1864
ALESSANDRA,312374
ALESSANDRE,2202
ALESSANDRO,194850
ALESSI,3005
ALESSIO,5646
ALESSON,4771
ALEX,373950
ALEXA,1093
ALEXANDER,39826
ALEXANDRA,92159
ALEXANDRE,991068
ALEXANDRIA,6034
ALEXANDRINA,40131
ALEXANDRINO,38091
ALEXANDRO,52452
ALEXIA,15945
ALEXIS,6275
ALEXON,1020
ALEXSANDER,22398
ALEXSANDRA,48268
ALEXSANDRE,2364
ALEXSANDRO,100437
ALEXSON,1953
ALEXSSANDER,1715
ALEXSSANDRA,3013
ALEXSSANDRO,6334
ALFA,1520
ALFAIA,11929
ALFARO,2215
ALFENAS,1820
ALFERES,1191
ALFEU,8245
ALFIERI,1088
ALFLEN,1807
ALFONSO,13015
ALFONZO,1239
ALFRADIQUE,1210
ALFRED,2647
ALFREDINA,1525
ALFREDO,176371
ALGEMIRO,3415
ALGUSTO,1106
ALHO,4164
ALI,13948
ALIAGA,1304
ALIANA,1303
ALIANE,3036
ALICE,321594
ALICIA,17734
ALICIO,10048
ALIDA,2589
ALIENE,1273
ALIETE,6921
ALINA,4662
ALINE,536086
ALINI,3914
ALINNE,4952
ALINOR,1075
ALINY,5051
ALIOMAR,2565
ALIPIA,1027
ALIPIO,26299
ALIRIA,1049
ALIRIO,9760
ALISON,32289
ALISSA,1008
ALISSANDRA,1112
ALISSON,98407
ALITA,1010
ALIXANDRE,3984
ALKIMIM,3041
ALKMIM,4134
ALKMIN,1225
ALLAN,75637
ALLANA,7783
ALLEBRANDT,1675
ALLEF,4039
ALLEN,3657
ALLES,1663
ALLEX,1661
ALLINE,6164
ALLISON,7247
ALLISSON,3837
ALLYNE,1973
ALLYSON,7364
ALLYSSON,3525
ALMA,4184
ALMADA,13744
ALMAGRO,1095
ALMANSA,1037
ALMAS,2175
ALMEDA,1498
ALMEIDA,3615095
ALMENDRA,1577
ALMERI,2039
ALMERINDA,38323
ALMERINDO,10438
ALMERIO,1243
ALMERITA,3658
ALMEZINA,1001
ALMI,1236
ALMINDA,2173
ALMINO,1864
ALMIR,94910
ALMIRA,16928
ALMIRANTE,1538
ALMIRO,19546
ALMIRON,1056
ALMONDES,1533
ALOIR,1792
ALOIS,1501
ALOISE,1139
ALOISIA,1359
ALOISIO,47737
ALOIZIO,7399
ALONCIO,1596
ALONCO,2474
ALONSO,53012
ALOYSIO,6351
ALQUIMIM,1324
ALSIRA,1149
ALT,1162
ALTA,1585
ALTAIR,58212
ALTAMIR,13068
ALTAMIRA,7800
ALTAMIRANDO,1590
ALTAMIRO,20692
ALTEMAR,4368
ALTEMIR,5740
ALTENHOFEN,1606
ALTEVIR,2897
ALTHAUS,1986
ALTIERES,1479
ALTIERI,1728
ALTINA,14054
ALTINO,25144
ALTISSIMO,1408
ALTIVA,3437
ALTIVO,5793
ALTMANN,1475
ALTO,1806
ALTOE,4574
ALUISIO,21433
ALUIZIO,29116
ALUIZO,1550
ALVA,1783
ALVACI,2061
ALVACIR,2969
ALVAIR,1822
ALVANI,2775
ALVANIR,2664
ALVARADO,3050
ALVARENGA,103991
ALVARES,36521
ALVAREZ,28593
ALVARINA,3676
ALVARINO,3046
ALVARO,107321
ALVELINO,1455
ALVENI,1033
ALVENIR,1007
ALVERINA,2045
ALVERNAZ,1649
ALVERNE,1084
ALVES,7409956
ALVEZ,2573
ALVICIO,1881
ALVIM,30023
ALVIMAR,4240
ALVIN,1903
ALVINA,25435
ALVINO,32778
ALVIRA,1026
ALVIS,1483
ALYCE,1128
ALYNE,10414
ALYNNE,1607
ALYSON,8574
ALYSSON,18637
ALZEMIRA,1194
ALZEMIRO,3008
ALZENI,4101
ALZENIR,9351
ALZENIRA,5713
ALZERINA,3552
ALZIMAR,1124
ALZINETE,1583
ALZIRA,136852
ALZIRENE,1570
ALZIRO,6467
AMABILE,10207
AMADA,1742
AMADEI,1041
AMADEO,1379
AMADEU,45348
AMADEUS,6537
AMADIO,2050
